ValueType Name,Belongs to Ontology,Domain,Range,Definition of Property,Logical Axioms,Alternative Name(s),fullName
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
,,,,,,,(->)
